id,type_id,type_title,difficulty,answer_option,explanation
T01-01,T01,지렛대 합성·기울기,1,2,검은 공은 흰 공 2개와 균형을 이룹니다. 양쪽 공을 위치별로 합친 뒤 무게를 비교하면 left 쪽이 내려갑니다.
T01-02,T01,지렛대 합성·기울기,2,3,검은 공은 흰 공 2개와 균형을 이룹니다. 양쪽 공을 위치별로 합친 뒤 무게를 비교하면 left 쪽이 내려갑니다.
T01-03,T01,지렛대 합성·기울기,3,2,검은 공은 흰 공 2개와 균형을 이룹니다. 양쪽 공을 위치별로 합친 뒤 무게를 비교하면 right 쪽이 내려갑니다.
T01-04,T01,지렛대 합성·기울기,4,6,검은 공은 흰 공 2개와 균형을 이룹니다. 양쪽 공을 위치별로 합친 뒤 무게를 비교하면 left 쪽이 내려갑니다.
T01-05,T01,지렛대 합성·기울기,5,4,검은 공은 흰 공 2개와 균형을 이룹니다. 양쪽 공을 위치별로 합친 뒤 무게를 비교하면 left 쪽이 내려갑니다.
T02-01,T02,행렬식 단순 합성,1,6,‘+’는 두 그림의 모든 구성요소를 빠짐없이 겹치는 연산입니다. 아랫줄 두 도형의 요소를 모두 포함한 보기가 정답입니다.
T02-02,T02,행렬식 단순 합성,2,3,‘+’는 두 그림의 모든 구성요소를 빠짐없이 겹치는 연산입니다. 아랫줄 두 도형의 요소를 모두 포함한 보기가 정답입니다.
T02-03,T02,행렬식 단순 합성,3,6,‘+’는 두 그림의 모든 구성요소를 빠짐없이 겹치는 연산입니다. 아랫줄 두 도형의 요소를 모두 포함한 보기가 정답입니다.
T02-04,T02,행렬식 단순 합성,4,5,‘+’는 두 그림의 모든 구성요소를 빠짐없이 겹치는 연산입니다. 아랫줄 두 도형의 요소를 모두 포함한 보기가 정답입니다.
T02-05,T02,행렬식 단순 합성,5,4,‘+’는 두 그림의 모든 구성요소를 빠짐없이 겹치는 연산입니다. 아랫줄 두 도형의 요소를 모두 포함한 보기가 정답입니다.
T03-01,T03,별 다각형 순서·연결,1,2,"바깥 꼭짓점 수가 하나씩 증가합니다. 홀수 개 도형은 한 번에 이어 그린 별 다각형, 짝수 개 도형은 같은 크기의 두 다각형을 겹친 형태입니다. 따라서 정답은 꼭짓점 9개의 정규 패턴입니다."
T03-02,T03,별 다각형 순서·연결,2,2,"바깥 꼭짓점 수가 하나씩 감소합니다. 홀수 개 도형은 한 번에 이어 그린 별 다각형, 짝수 개 도형은 같은 크기의 두 다각형을 겹친 형태입니다. 따라서 정답은 꼭짓점 6개의 정규 패턴입니다."
T03-03,T03,별 다각형 순서·연결,3,6,"바깥 꼭짓점 수가 하나씩 증가합니다. 홀수 개 도형은 한 번에 이어 그린 별 다각형, 짝수 개 도형은 같은 크기의 두 다각형을 겹친 형태입니다. 따라서 정답은 꼭짓점 11개의 정규 패턴입니다."
T03-04,T03,별 다각형 순서·연결,4,1,"바깥 꼭짓점 수가 하나씩 감소합니다. 홀수 개 도형은 한 번에 이어 그린 별 다각형, 짝수 개 도형은 같은 크기의 두 다각형을 겹친 형태입니다. 따라서 정답은 꼭짓점 8개의 정규 패턴입니다."
T03-05,T03,별 다각형 순서·연결,5,1,"바깥 꼭짓점 수가 하나씩 증가합니다. 홀수 개 도형은 한 번에 이어 그린 별 다각형, 짝수 개 도형은 같은 크기의 두 다각형을 겹친 형태입니다. 따라서 정답은 꼭짓점 13개의 정규 패턴입니다."
T04-01,T04,선분 XOR·대칭차,1,5,"두 그림에 동시에 있는 선분은 사라지고, 한쪽에만 있는 선분만 남습니다. 각 선분을 가로·세로·두 대각선으로 나눠 비교하면 됩니다."
T04-02,T04,선분 XOR·대칭차,2,5,"두 그림에 동시에 있는 선분은 사라지고, 한쪽에만 있는 선분만 남습니다. 각 선분을 가로·세로·두 대각선으로 나눠 비교하면 됩니다."
T04-03,T04,선분 XOR·대칭차,3,3,"두 그림에 동시에 있는 선분은 사라지고, 한쪽에만 있는 선분만 남습니다. 각 선분을 가로·세로·두 대각선으로 나눠 비교하면 됩니다."
T04-04,T04,선분 XOR·대칭차,4,6,"두 그림에 동시에 있는 선분은 사라지고, 한쪽에만 있는 선분만 남습니다. 각 선분을 가로·세로·두 대각선으로 나눠 비교하면 됩니다."
T04-05,T04,선분 XOR·대칭차,5,6,"두 그림에 동시에 있는 선분은 사라지고, 한쪽에만 있는 선분만 남습니다. 각 선분을 가로·세로·두 대각선으로 나눠 비교하면 됩니다."
T05-01,T05,두 색 선분 개수 순환,1,3,"세 가지 상태가 행과 열에서 한 칸씩 순환합니다. 빈칸의 상태는 검은 가로선 3개, 빨간 세로선 1개입니다."
T05-02,T05,두 색 선분 개수 순환,2,1,"세 가지 상태가 행과 열에서 한 칸씩 순환합니다. 빈칸의 상태는 검은 가로선 3개, 빨간 세로선 2개입니다."
T05-03,T05,두 색 선분 개수 순환,3,2,"세 가지 상태가 행과 열에서 한 칸씩 순환합니다. 빈칸의 상태는 검은 가로선 1개, 빨간 세로선 2개입니다."
T05-04,T05,두 색 선분 개수 순환,4,3,"세 가지 상태가 행과 열에서 한 칸씩 순환합니다. 빈칸의 상태는 검은 가로선 3개, 빨간 세로선 1개입니다."
T05-05,T05,두 색 선분 개수 순환,5,1,"세 가지 상태가 행과 열에서 한 칸씩 순환합니다. 빈칸의 상태는 검은 가로선 0개, 빨간 세로선 3개입니다."
T06-01,T06,둘레 위치 이동+선분 회전,1,4,"검은 원은 둘레 8개 위치에서 매번 1칸씩 이동하고, 선분은 네 위치를 매번 반시계 방향으로 이동합니다. 두 규칙을 따로 적용한 조합이 정답입니다."
T06-02,T06,둘레 위치 이동+선분 회전,2,1,"검은 원은 둘레 8개 위치에서 매번 1칸씩 이동하고, 선분은 네 위치를 매번 시계 방향으로 이동합니다. 두 규칙을 따로 적용한 조합이 정답입니다."
T06-03,T06,둘레 위치 이동+선분 회전,3,2,"검은 원은 둘레 8개 위치에서 매번 3칸씩 이동하고, 선분은 네 위치를 매번 반시계 방향으로 이동합니다. 두 규칙을 따로 적용한 조합이 정답입니다."
T06-04,T06,둘레 위치 이동+선분 회전,4,6,"검은 원은 둘레 8개 위치에서 매번 2칸씩 이동하고, 선분은 네 위치를 매번 시계 방향으로 이동합니다. 두 규칙을 따로 적용한 조합이 정답입니다."
T06-05,T06,둘레 위치 이동+선분 회전,5,1,"검은 원은 둘레 8개 위치에서 매번 3칸씩 이동하고, 선분은 네 위치를 매번 시계 방향으로 이동합니다. 두 규칙을 따로 적용한 조합이 정답입니다."
T07-01,T07,두 원의 반대방향 회전,1,3,"검은 원은 매 칸 시계 방향, 흰 원은 반시계 방향으로 90°씩 이동합니다. 같은 자리에 오면 검은 원이 흰 원을 가립니다."
T07-02,T07,두 원의 반대방향 회전,2,6,"검은 원은 매 칸 시계 방향, 흰 원은 반시계 방향으로 90°씩 이동합니다. 같은 자리에 오면 검은 원이 흰 원을 가립니다."
T07-03,T07,두 원의 반대방향 회전,3,6,"검은 원은 매 칸 반시계 방향, 흰 원은 시계 방향으로 90°씩 이동합니다. 같은 자리에 오면 검은 원이 흰 원을 가립니다."
T07-04,T07,두 원의 반대방향 회전,4,1,"검은 원은 매 칸 시계 방향, 흰 원은 반시계 방향으로 90°씩 이동합니다. 같은 자리에 오면 검은 원이 흰 원을 가립니다."
T07-05,T07,두 원의 반대방향 회전,5,5,"검은 원은 매 칸 반시계 방향, 흰 원은 시계 방향으로 90°씩 이동합니다. 같은 자리에 오면 검은 원이 흰 원을 가립니다."
T08-01,T08,도형×표현방식 라틴배열,1,6,각 행과 열에서 세 도형과 세 표현 방식이 일정하게 순환합니다. 빈칸은 실선 삼각형입니다.
T08-02,T08,도형×표현방식 라틴배열,2,1,각 행과 열에서 세 도형과 세 표현 방식이 일정하게 순환합니다. 빈칸은 실선 마름모입니다.
T08-03,T08,도형×표현방식 라틴배열,3,6,각 행과 열에서 세 도형과 세 표현 방식이 일정하게 순환합니다. 빈칸은 채움 사각형입니다.
T08-04,T08,도형×표현방식 라틴배열,4,4,각 행과 열에서 세 도형과 세 표현 방식이 일정하게 순환합니다. 빈칸은 점선 마름모입니다.
T08-05,T08,도형×표현방식 라틴배열,5,4,각 행과 열에서 세 도형과 세 표현 방식이 일정하게 순환합니다. 빈칸은 점선 삼각형입니다.
T09-01,T09,도형 중첩·가림,1,4,"바깥 테두리와 모든 선을 먼저 겹친 뒤, 검게 채워진 도형을 마지막에 올립니다. 검은 영역 뒤에 놓인 선 구간은 보이지 않지만 나머지 요소는 모두 남아야 합니다."
T09-02,T09,도형 중첩·가림,2,3,"바깥 테두리와 모든 선을 먼저 겹친 뒤, 검게 채워진 도형을 마지막에 올립니다. 검은 영역 뒤에 놓인 선 구간은 보이지 않지만 나머지 요소는 모두 남아야 합니다."
T09-03,T09,도형 중첩·가림,3,6,"바깥 테두리와 모든 선을 먼저 겹친 뒤, 검게 채워진 도형을 마지막에 올립니다. 검은 영역 뒤에 놓인 선 구간은 보이지 않지만 나머지 요소는 모두 남아야 합니다."
T09-04,T09,도형 중첩·가림,4,1,"바깥 테두리와 모든 선을 먼저 겹친 뒤, 검게 채워진 도형을 마지막에 올립니다. 검은 영역 뒤에 놓인 선 구간은 보이지 않지만 나머지 요소는 모두 남아야 합니다."
T09-05,T09,도형 중첩·가림,5,1,"바깥 테두리와 모든 선을 먼저 겹친 뒤, 검게 채워진 도형을 마지막에 올립니다. 검은 영역 뒤에 놓인 선 구간은 보이지 않지만 나머지 요소는 모두 남아야 합니다."
T10-01,T10,기호 연산: 합집합·차집합·XOR,1,6,"마지막 기호는 ⊕이며, 공통 요소는 지우고 한쪽에만 있는 요소를 남깁니다. 요소를 하나씩 체크한 결과가 정답입니다."
T10-02,T10,기호 연산: 합집합·차집합·XOR,2,3,"마지막 기호는 −이며, 왼쪽 그림에서 오른쪽과 공통인 요소를 제거합니다. 요소를 하나씩 체크한 결과가 정답입니다."
T10-03,T10,기호 연산: 합집합·차집합·XOR,3,3,"마지막 기호는 +이며, 두 그림의 모든 요소를 합칩니다. 요소를 하나씩 체크한 결과가 정답입니다."
T10-04,T10,기호 연산: 합집합·차집합·XOR,4,5,"마지막 기호는 ⊕이며, 공통 요소는 지우고 한쪽에만 있는 요소를 남깁니다. 요소를 하나씩 체크한 결과가 정답입니다."
T10-05,T10,기호 연산: 합집합·차집합·XOR,5,1,"마지막 기호는 −이며, 왼쪽 그림에서 오른쪽과 공통인 요소를 제거합니다. 요소를 하나씩 체크한 결과가 정답입니다."
T11-01,T11,색상별 크기 짝맞추기,1,3,"세 색은 각각 정확히 두 번 등장하며, 한 번은 큰 원이고 한 번은 작은 원입니다. 따라서 빠진 것은 파랑색 작은 원입니다."
T11-02,T11,색상별 크기 짝맞추기,2,1,"세 색은 각각 정확히 두 번 등장하며, 한 번은 큰 원이고 한 번은 작은 원입니다. 따라서 빠진 것은 초록색 작은 원입니다."
T11-03,T11,색상별 크기 짝맞추기,3,3,"세 색은 각각 정확히 두 번 등장하며, 한 번은 큰 원이고 한 번은 작은 원입니다. 따라서 빠진 것은 빨강색 작은 원입니다."
